"Стаття","Назва","Спеціальності","Джерело","Лікар: статус","Лікар: ПІБ і дата","Юрист: статус","Юрист: ПІБ і дата","Зауваження"
"1","Інфекційні та паразитарні хвороби","Терапевт; Невролог; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n5980:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%201","Очікує","","Очікує","",""
"2","Туберкульоз","Терапевт; Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7476:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%202","Очікує","","Очікує","",""
"3","Інфекції, що передаються статевим шляхом","Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6036:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%203","Очікує","","Очікує","",""
"4","Хронічні вірусні гепатити","Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6039:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%204","Очікує","","Очікує","",""
"5","Хвороба, зумовлена ВІЛ","Терапевт; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6053:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%205","Очікує","","Очікує","",""
"6","Мікози та дерматофітії","Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6070:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%206","Очікує","","Очікує","",""
"7","Стани після інфекційних та паразитарних хвороб","Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6071:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%207","Очікує","","Очікує","",""
"8","Злоякісні новоутворення","Терапевт; Хірург; Невролог; Офтальмолог; Отоларинголог; Стоматолог; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6076:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%208","Очікує","","Очікує","",""
"9","Злоякісні новоутворення кровотворної системи","Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6095:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%209","Очікує","","Очікує","",""
"10","Доброякісні новоутворення","Терапевт; Хірург; Невролог; Офтальмолог; Отоларинголог; Стоматолог; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6110:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2010","Очікує","","Очікує","",""
"11","Стани після лікування новоутворень","Терапевт; Хірург; Невролог; Офтальмолог; Отоларинголог; Стоматолог; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6150:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2011","Очікує","","Очікує","",""
"12","Хвороби крові та імунні порушення","Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6154:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2012","Очікує","","Очікує","",""
"13","Хвороби ендокринної системи й обміну речовин","Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6197:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2013","Очікує","","Очікує","",""
"14","Органічні та симптоматичні психічні розлади","Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6242:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2014","Очікує","","Очікує","",""
"15","Розлади через вживання психоактивних речовин","Психіатр; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6248:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2015","Очікує","","Очікує","",""
"16","Ендогенні психози та розлади настрою","Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6253:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2016","Очікує","","Очікує","",""
"17","Невротичні, стресові й соматоформні розлади","Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6257:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2017","Очікує","","Очікує","",""
"18","Розлади особистості, поведінки та розвитку","Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6262:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2018","Очікує","","Очікує","",""
"19","Розумова відсталість","Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6266:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2019","Очікує","","Очікує","",""
"20","Запальні хвороби центральної нервової системи","Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6270:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2020","Очікує","","Очікує","",""
"21","Хвороби центральної нервової системи","Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6279:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2021","Очікує","","Очікує","",""
"22","Епізодичні та пароксизмальні розлади","Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6283:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2022","Очікує","","Очікує","",""
"23","Хвороби периферичної нервової системи","Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6295:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2023","Очікує","","Очікує","",""
"24","Стани після гострих хвороб нервової системи","Невролог; Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6302:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2024","Очікує","","Очікує","",""
"25","Хвороби повік, сльозового апарату, орбіти й кон’юнктиви","Офтальмолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6309:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2025","Очікує","","Очікує","",""
"26","Хвороби внутрішніх структур ока та зорового нерва","Офтальмолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6329:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2026","Очікує","","Очікує","",""
"27","Відшарування та розрив сітківки","Офтальмолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6357:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2027","Очікує","","Очікує","",""
"28","Глаукома","Офтальмолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6359:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2028","Очікує","","Очікує","",""
"29","Хвороби м’язів ока та косоокість","Офтальмолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6360:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2029","Очікує","","Очікує","",""
