id,name,category,district,address,phone,website,source_url,check_phone_ok,check_address_ok,check_hours,notes
"alden-vet-tsentr-antonovycha-c1","Алден-Вет (Центр, Антоновича)",veterinary_clinic,pechersk,"вул. Антоновича, 32",+380800351088,"https://aldenvet.ua","https://aldenvet.ua/contacts/",,,,
"alden-vet-solomianka-c2","Алден-Вет (Солом'янка)",veterinary_clinic,solomianka,"просп. Валерія Лобановського, 10А",+380800351088,"https://aldenvet.ua","https://aldenvet.ua/contacts/",,,,
"alden-vet-nyvky-estonska-c3","Алден-Вет (Нивки, Естонська)",veterinary_clinic,nyvky,"вул. Естонська, 51",+380800351088,"https://aldenvet.ua","https://aldenvet.ua/contacts/",,,,
"alden-vet-pozniaky-hryshka-c4","Алден-Вет (Позняки, Гришка)",veterinary_clinic,pozniaky,"вул. Михайла Гришка, 4",+380800351088,"https://aldenvet.ua","https://aldenvet.ua/contacts/",,,,
"vetpro-holosiiv-c5","ВетПро (Голосіїв)",veterinary_clinic,holosiiv,"вул. Васильківська, 16",+380970156141,"https://aldenvet.ua","https://aldenvet.ua/contacts/",,,,
"vetpro-pozniaky-drahomanova-c6","ВетПро (Позняки, Драгоманова)",veterinary_clinic,pozniaky,"вул. Драгоманова, 31В",+380681507015,"https://aldenvet.ua","https://aldenvet.ua/contacts/",,,,
"zooliuks-tsentr-dmytrivska-c7","Зоолюкс (Центр, Дмитрівська)",veterinary_clinic,solomianka,"вул. Дмитрівська, 39",+380443448888,"https://zoolux.clinic","https://zoolux.clinic",,,,
"zooliuks-kharkivskyi-revutskoho-c8","Зоолюкс (Харківський, Ревуцького)",veterinary_clinic,pozniaky,"вул. Ревуцького, 42В",+380443448888,"https://zoolux.clinic","https://zoolux.clinic",,,,
"zooliuks-obolon-c9","Зоолюкс (Оболонь)",veterinary_clinic,obolon,"просп. Володимира Івасюка, 2Д",+380443448888,"https://zoolux.clinic","https://zoolux.clinic",,,,
"artvet-troieshchyna-c10","АртВет (Троєщина)",veterinary_clinic,troieshchyna,"вул. Милославська, 43",+380673863270,"https://artvet.kiev.ua","https://artvet.kiev.ua",,,,
"artvet-antonovycha-c11","АртВет (Антоновича)",veterinary_clinic,holosiiv,"вул. Антоновича, 125",+380673863270,"https://artvet.kiev.ua","https://artvet.kiev.ua",,,,
"lessi-obolon-c12","Лессі (Оболонь)",veterinary_clinic,obolon,"вул. Зої Гайдай, 5",+380444266976,"https://lessy.kiev.ua","https://lessy.kiev.ua",,,,
"vetservis-holosiiv-c13","Ветсервіс (Голосіїв)",veterinary_clinic,holosiiv,"просп. Голосіївський, 82",+380730717042,"","https://petlive.com.ua/biz/clinics-alden-vet-4",,,,
"vetdopomoha-palma-troieshchyna-c14","Ветдопомога «Пальма» (Троєщина)",veterinary_clinic,troieshchyna,"вул. Миколи Закревського, 9",+380445478034,"","https://locator.ua/kyiv/veterynarni-kliniky/troeshchyna/en/",,,,
"alden-vet-troieshchyna-balzaka-c15","Алден-Вет (Троєщина, Бальзака)",veterinary_clinic,troieshchyna,"вул. Оноре де Бальзака, 6",+380442363322,"https://aldenvet.ua","https://locator.ua/kyiv/veterynarni-kliniky/troeshchyna/en/",,,,
"masterzoo-ocean-plaza-c16","MasterZoo (Ocean Plaza)",pet_store,holosiiv,"вул. Антоновича, 176, ТРЦ «Ocean Plaza»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-retroville-c17","MasterZoo (Retroville)",pet_store,podil,"просп. Європейського Союзу, 47, ТРЦ «Retroville»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-new-way-c18","MasterZoo (New Way)",pet_store,pozniaky,"вул. Архітектора Вербицького, 1, ТЦ «New Way»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-arkadiia-borshchahivska-c19","MasterZoo (Аркадія, Борщагівська)",pet_store,solomianka,"вул. Борщагівська, 154А, ТЦ «Аркадія»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-rehina-c20","MasterZoo (Регіна)",pet_store,sviatoshyn,"вул. Академіка Булаховського, 3А, ТЦ «Регіна»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-smart-plaza-c21","MasterZoo (Smart Plaza)",pet_store,obolon,"просп. Оболонський, 19, ТЦ «Smart Plaza»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-akadem-siti-c22","MasterZoo (Академ Сіті)",pet_store,sviatoshyn,"просп. Академіка Палладіна, 16, ТЦ «Академ Сіті»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-prorizna-c23","MasterZoo (Прорізна)",pet_store,pechersk,"вул. Прорізна, 22",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/novini/zoomagazin-u-m.-kiiv-vul.-prorizna-22/",,,,
"masterzoo-piramida-c24","MasterZoo (Piramida)",pet_store,pozniaky,"вул. Олександра Мишуги, 4, ТРЦ «Piramida»",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
"masterzoo-balzaka-c25","MasterZoo (Бальзака)",pet_store,troieshchyna,"вул. Оноре де Бальзака, 85",+380800212002,"https://masterzoo.ua","https://masterzoo.ua/ua/zoomarketi/",,,,
